"pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility"
"30 Ari B b,30 Ari B,30 Ari B,4,1,Radial Velocity,2009,0.99,12.3,4392.4106,0.29,F6 V,1.41,1.93,44.657,Thueringer Landessternwarte Tautenburg"
"PH1 b,PH1,PH1,4,1,Transit,2012,0.652,6.18,169,0.0702,F,1.73,1.53,1033.16,Kepler"
"Kepler-444 b,Kepler-444,Kepler-444,3,5,Transit,2015,0.04178,0.403,0.0374,0.16,K,0.75,0.76,36.4396,Kepler"
"Kepler-444 c,Kepler-444,Kepler-444,3,5,Transit,2015,0.04881,0.497,0.0793,0.31,K,0.75,0.76,36.4396,Kepler"
"Kepler-444 d,Kepler-444,Kepler-444,3,5,Transit,2015,0.06,0.53,0.2,0.18,K,0.75,0.76,36.4396,Kepler"
"Kepler-444 e,Kepler-444,Kepler-444,3,5,Transit,2015,0.0696,0.546,0.1,0.1,K,0.75,0.76,36.4396,Kepler"
"Kepler-444 f,Kepler-444,Kepler-444,3,5,Transit,2015,0.0811,0.741,0.332,0.29,K,0.75,0.76,36.4396,Kepler"
"HD 207832 b,HD 207832,HD 207832,3,2,Radial Velocity,2012,0.586,14.2,177.9848,0.197,G5 V,0.89,1.05,58.9291,W. M. Keck Observatory"
"HD 207832 c,HD 207832,HD 207832,3,2,Radial Velocity,2012,2.112,14,232.0159,0.27,G5 V,0.9,0.94,58.9291,W. M. Keck Observatory"
"HD 65216 b,HD 65216,HD 65216,3,2,Radial Velocity,2003,1.301,13.6,411.58985,0.27,G5 V,0.88,0.87,35.1205,La Silla Observatory"
"HD 65216 c,HD 65216,HD 65216,3,2,Radial Velocity,2013,5.75,13.4,645.1949,0.17,G5 V,0.89,0.87,35.1205,La Silla Observatory"
"LTT 1445 A b,LTT 1445 A,LTT 1445 A,3,2,Transit,2019,0.03813,1.305,2.87,0.11,M2.5V,0.27,0.26,6.86929,Transiting Exoplanet Survey Satellite (TESS)"
"LTT 1445 A c,LTT 1445 A,LTT 1445 A,3,2,Transit,2022,0.02661,1.147,1.54,0.223,M2.5V,0.27,0.26,6.86929,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-942 b,TOI-942,TOI-942,3,2,Transit,2020,0.04796,4.81,826.358,0,K2.5 V,1.02,0.79,152.601,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-942 c,TOI-942,TOI-942,3,2,Transit,2020,0.0847,5.79,794.575,0,K2.5 V,1.02,0.79,152.601,Transiting Exoplanet Survey Satellite (TESS)"
"16 Cyg B b,16 Cyg B,16 Cyg B,3,1,Radial Velocity,1996,1.66,13.5,565.7374,0.68,G3 V,1.13,1.08,21.1397,Multiple Observatories"
"51 Eri b,51 Eri,51 Eri,3,1,Imaging,2015,13.2,13.4,635.66,0.45,F0 IV,1.49,1.75,29.7575,Gemini Observatory"
"91 Aqr b,91 Aqr,91 Aqr,3,1,Radial Velocity,2013,0.7,13.1,1017,0.027,K0 III,11,1.4,44.0304,Lick Observatory"
"HAT-P-16 b,HAT-P-16,HAT-P-16,3,1,Transit,2010,0.0413,14.448,1332.605,0.036,F8,1.24,1.22,226.637,HATNet"
"HAT-P-57 b,HAT-P-57,HAT-P-57,3,1,Transit,2015,0.0406,19.504,448.1403,0,A8 V,1.85,2.77,279.86,HATNet"
"HAT-P-8 b,HAT-P-8,HAT-P-8,3,1,Transit,2008,0.04496,15.693,406.8224,0,F6,1.57,1.27,211.553,HATNet"
"HD 126614 b,HD 126614,HD 126614,3,1,Radial Velocity,2009,2.248182,13.6,119.96298,0.547783,G8 IV,1.37,0.96,73.0961,W. M. Keck Observatory"
"HD 132563 b,HD 132563,HD 132563,3,1,Radial Velocity,2011,2.62,13.6,473.547,0.22,F8,1.3,1.23,105.155,Roque de los Muchachos Observatory"
"HD 142245 b,HD 142245,HD 142245,3,1,Radial Velocity,2011,2.78,13.1,975.7381,0,K0,4.63,3.5,97.2305,W. M. Keck Observatory"
"HD 178911 B b,HD 178911 B,HD 178911 B,3,1,Radial Velocity,2001,0.34,12.6,2552.1749,0.11,G5,1.08,1.24,40.9727,W. M. Keck Observatory"
"HD 185269 b,HD 185269,HD 185269,3,1,Radial Velocity,2006,0.077,13.8,321.0083,0.229,G0 IV,2,1.3,51.9917,Lick Observatory"
"HD 196050 b,HD 196050,HD 196050,3,1,Radial Velocity,2002,2.51,13.1,1010.6994,0.23,G4 V,1.42,1.31,50.6742,Anglo-Australian Telescope"
"HD 19994 b,HD 19994,HD 19994,3,1,Radial Velocity,2003,1.305,13.6,435.41,0.063,F8 V,1.8,1.36,22.5242,La Silla Observatory"
"HD 2638 b,HD 2638,HD 2638,3,1,Radial Velocity,2005,0.04,14.3,133.4886,0,K1 V,0.94,0.77,54.9621,La Silla Observatory"
"HD 40979 b,HD 40979,HD 40979,3,1,Radial Velocity,2002,0.85,12.9,1484.2661,0.25,F8 V,1.21,1.45,34.0883,Multiple Observatories"
"HD 4113 b,HD 4113,HD 4113,3,1,Radial Velocity,2007,1.28031,13.5,542.78936,0.898669,G5,1.08,1.01,41.8727,La Silla Observatory"
"HD 43691 b,HD 43691,HD 43691,3,1,Radial Velocity,2007,0.238,13.2,810.4665,0.0796,G0,1.6,1.32,85.6009,Haute-Provence Observatory"
"HD 87646 b,HD 87646,HD 87646,3,1,Radial Velocity,2016,0.117,12.4,3941.092,0.05,G,1.55,1.12,73.58352,Apache Point Observatory"
"KELT-4 A b,KELT-4 A,KELT-4 A,3,1,Transit,2016,0.04317,19.044,286.68266,0,F,1.6,1.2,218.05,KELT"
"Proxima Cen b,Proxima Cen,Proxima Cen,3,1,Radial Velocity,2016,0.04856,1.03,1.07,0.02,M5.5 V,0.14,0.12,1.30119,European Southern Observatory"
"WASP-11 b,WASP-11,WASP-11,3,1,Transit,2008,0.0435,12.442,251.0857,0,K3 V,0.89,1.42,124.73,SuperWASP"
"eps Ind A b,eps Ind A,eps Ind A,3,1,Radial Velocity,2019,11.55,13.1,1032.9475,0.26,K2 V,0.78,0.75,3.63857,La Silla Observatory"
"psi1 Dra B b,psi1 Dra B,psi1 Dra B,3,1,Radial Velocity,2015,4.43,13.5,486.2799,0.4,G0 V,1.26,1.19,22.7188,McDonald Observatory"
"55 Cnc b,55 Cnc,55 Cnc,2,5,Radial Velocity,1996,0.1134,13.9,263.9785,0,K0 IV-V,0.94,0.91,12.5855,Lick Observatory"
"55 Cnc c,55 Cnc,55 Cnc,2,5,Radial Velocity,2004,0.2373,8.51,54.4738,0.03,G8V,0.94,0.91,12.5855,McDonald Observatory"
"55 Cnc d,55 Cnc,55 Cnc,2,5,Radial Velocity,2002,5.957,13,1232.493,0.13,G8 V,0.94,0.91,12.5855,Lick Observatory"
"55 Cnc e,55 Cnc,55 Cnc,2,5,Radial Velocity,2004,0.01544,1.875,7.99,0.05,G8 V,0.94,0.91,12.5855,McDonald Observatory"
"55 Cnc f,55 Cnc,55 Cnc,2,5,Radial Velocity,2007,0.7708,7.59,44.812,0.08,G8V,0.94,0.91,12.5855,Multiple Observatories"
"HD 20781 b,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.0529,1.21,1.93,0.1,K0 V,0.83,0.7,35.9715,La Silla Observatory"
"HD 20781 c,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.1004,2.17,5.33,0.09,K0 V,0.83,0.7,35.9715,La Silla Observatory"
"HD 20781 d,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.1647,3.25,10.61,0.11,K0 V,0.83,0.7,35.9715,La Silla Observatory"
